comulative_averages	 uncertainty
0.0826996	0
0.08283	0.000130417
0.0833113	0.000487169
0.0835338	0.00041007
0.0835502	0.000318066
0.0835396	0.000259918
0.0833918	0.000264719
0.0834995	0.000253263
0.083421	0.000236752
0.083289	0.000249502
0.0832482	0.000229344
0.0832628	0.00020987
0.0831854	0.000207993
0.0832305	0.000197769
0.0832199	0.000184418
0.0831942	0.0001744
0.0831593	0.000167498
0.0831507	0.000158156
0.0831681	0.000150613
0.0832191	0.000151697
0.0832548	0.000148653
0.0832775	0.000143542
0.0831994	0.000157853
0.0832286	0.000153925
0.0831881	0.000153073
0.0832876	0.000177547
0.0833113	0.000172487
0.0832705	0.000171168
0.0833097	0.000169754
0.0833209	0.000164379
0.0833001	0.000160344
0.0832966	0.000155291
0.0832877	0.000150775
0.0833031	0.00014708
0.083326	0.000144645
0.0833372	0.000141017
0.0833417	0.000137227
0.0833344	0.000133771
0.0833243	0.00013068
0.0833371	0.000128006
0.0833181	0.000126275
0.0833141	0.000123297
0.0832826	0.000124461
0.0832905	0.000121859
0.0832727	0.000120446
0.0832838	0.000118319
0.0832431	0.000122722
0.083244	0.000120141
0.0832732	0.000121247
0.0832587	0.000119683
0.0832753	0.000118475
0.0832959	0.000117997
0.0832831	0.000116458
0.0832925	0.000114668
0.0832909	0.000112576
0.0832965	0.000110692
0.0832625	0.00011394
0.0832683	0.000112107
0.0832474	0.000112142
0.083251	0.000110315
0.0832495	0.000108501
0.0832291	0.000108673
0.0832357	0.000107136
0.083232	0.000105512
0.0832158	0.00010514
0.0832235	0.000103821
0.0832204	0.000102304
0.0832241	0.000100856
0.0832229	9.93914e-05
0.0832074	9.91778e-05
0.0832003	9.80326e-05
0.0831969	9.67214e-05
0.0832057	9.58009e-05
0.0832045	9.45051e-05
0.0831888	9.45601e-05
0.0831858	9.33543e-05
0.0831871	9.21425e-05
0.0831859	9.09611e-05
0.0831951	9.02724e-05
0.0831894	8.93207e-05
0.083197	8.85352e-05
0.0832128	8.88694e-05
0.0832082	8.791e-05
0.0832148	8.71037e-05
0.0832038	8.67758e-05
0.0831954	8.61652e-05
0.083197	8.51828e-05
0.0832069	8.47975e-05
0.0831941	8.48084e-05
0.0831943	8.3861e-05
0.0831993	8.30827e-05
0.0832072	8.25549e-05
0.0832111	8.17556e-05
0.0832214	8.15421e-05
0.083228	8.09462e-05
0.0832259	8.01267e-05
0.0832316	7.95024e-05
0.0832368	7.88571e-05
0.083246	7.85959e-05
0.083229	7.96349e-05
