uniforme	exponenziale	lorentziana
0.858545	1.43015	1.3791
0.950255	0.229932	1.13699
0.0117212	1.26886	0.720959
0.633887	0.0936429	-5.41539
0.792661	0.176356	-1.04385
0.543453	0.0197099	0.465824
0.921469	2.28585	1.91799
0.418227	0.103207	0.133211
0.834798	0.0919889	9.53396
0.866579	4.90716	1.08422
0.416579	1.48906	0.425343
0.603571	1.22917	1.28837
0.536343	0.405808	0.438413
0.919789	4.07437	4.0238
0.817546	1.98121	6.03194
0.638616	1.13448	-1.78625
0.961697	0.14821	0.204455
0.642236	0.740715	-0.946355
0.99602	0.907891	0.0215559
0.707359	0.257539	0.757428
0.701123	0.138994	3.09164
0.740459	0.177192	-0.458721
0.121583	0.614211	0.114722
0.388691	4.50848	1.03673
0.979991	0.0511097	-0.100398
0.214438	0.604948	0.344803
0.666116	1.10273	0.394828
0.205337	0.0668698	6.25621
0.567797	0.284853	-0.393452
0.266662	0.434644	-5.16029
0.500462	0.112138	0.277679
0.435183	1.29295	-0.203477
0.937676	0.221967	-0.0312152
0.489957	0.960633	-0.163715
0.172691	0.562704	-1.65618
0.348802	1.66607	0.572099
0.0487078	0.0376903	3.18278
0.0486792	0.363142	-0.585458
0.295293	0.334789	-3.35944
0.351287	2.78486	1.43914
0.435835	0.20742	-0.492163
0.520695	0.841716	-0.808915
0.591181	0.0179377	0.276413
0.822865	0.939718	-1.46231
0.0563584	0.169715	-2.36352
0.210894	0.134612	-36.8392
0.350387	0.293904	0.392583
0.0310338	0.620648	0.0230947
0.961846	0.279235	1.14359
0.168802	0.0278834	-0.189961
0.719511	0.623468	-11.2147
0.867996	0.218535	-5.58228
0.588133	0.0514329	0.105037
0.462211	0.559471	2.19663
0.866691	1.67549	0.0400253
0.673396	0.112398	19.6302
0.875576	0.0297132	-0.982766
0.126106	0.113442	-2.32419
0.212318	0.0596313	18.9341
0.637206	0.39555	4.55456
0.98241	1.30626	0.283774
0.803121	0.514593	-0.635887
0.759838	0.0437298	10.6434
0.625834	0.624957	-0.691904
0.815341	1.24841	0.326628
0.63122	0.644292	3.79853
0.365395	0.104135	-0.409018
0.402203	1.02684	1.44214
0.596244	0.269826	0.868114
0.16044	0.388141	2.54902
0.407286	2.05079	0.0911081
0.564896	0.528791	1.5834
0.179089	0.951046	-0.130652
0.768628	0.654445	-0.923884
0.707275	2.69211	-0.896482
0.841008	0.858116	5.46877
0.637214	1.06213	-3.0765
0.502993	0.00176576	0.056171
0.260787	0.163643	0.240472
0.141848	1.17988	-0.33902
0.912436	1.20538	16.6126
0.837627	2.5156	0.215279
0.990432	1.88145	-1.11869
0.82116	0.934016	-0.388009
0.0519803	0.736159	0.0517363
0.376301	0.552606	0.30981
0.579761	3.61132	-1.32734
0.434225	0.977573	-1.78699
0.0988556	1.60754	0.00435845
0.944991	0.484175	0.481186
0.7976	0.198159	-0.332455
0.836767	0.0667895	-1.21742
0.231482	0.130834	0.945274
0.241584	0.156052	2.6689
0.507905	3.10659	-1.40304
0.319569	0.911187	0.712532
0.798491	0.642245	-2.30835
0.703729	0.143538	-0.355872
0.789284	1.48957	0.320647
0.564311	1.61353	-1.56682
0.837659	0.313797	-2.40607
0.514164	0.171163	0.648529
0.869701	0.431654	5.83308
0.225523	0.11008	2.2722
0.220737	0.251957	-0.297472
0.71136	0.0998926	-3.66668
0.616568	2.02199	-0.593578
0.87125	0.365056	0.352147
0.288984	2.15626	0.515447
0.768596	1.1427	-2.79625
0.405255	4.60799	-9.97028
0.610829	0.0327107	1.21002
0.641911	2.2723	0.200852
0.334597	2.99671	0.618813
0.708874	0.462771	-5.78626
0.0431079	0.385638	-0.263119
0.362015	0.0036064	0.713284
0.212676	1.38021	-0.691491
0.691222	0.360295	0.149315
0.994673	0.46672	0.308732
0.492988	0.0266169	0.00260357
0.243396	0.393115	-1.04136
0.519373	0.839719	-23.6111
0.988876	1.0398	-0.862227
0.973623	0.987653	-0.868189
0.229656	1.0488	-0.300782
0.71234	2.87213	-0.00115344
0.377218	2.5033	-0.381639
0.743574	0.137784	-0.194846
0.115795	1.70241	2.38556
0.371306	0.364893	4.08888
0.741188	1.24383	1.51465
0.503426	0.301562	-3.14951
0.547855	0.0927528	2.74212
0.952431	2.50769	-0.146281
0.48204	0.280444	0.367119
0.0969432	0.00136003	-4.77425
0.976027	0.0238828	-4.10492
0.796504	2.0748	4.5645
0.686889	0.595682	0.210164
0.998428	2.8424	0.771059
0.419038	0.566528	-0.82008
0.965467	0.705102	-2.44344
0.401598	0.156185	-0.406873
0.587138	0.667871	-0.952274
0.731873	1.76774	-2.06128
0.192948	0.00688997	1.42136
0.645235	0.352412	3.4362
0.271768	0.10178	1.10304
0.0717605	1.00168	59.5943
0.666674	1.41104	2.11671
0.939725	1.29281	-3.91786
0.932818	0.312851	0.856467
0.643249	0.0367318	1.27194
0.751272	1.0482	0.659825
0.155119	0.721773	-0.459732
0.26488	0.965781	4.56088
0.653108	0.335862	0.0672652
0.0503544	2.23111	2.83367
0.220555	1.0356	1.97538
0.45369	1.9497	-0.0108241
0.682547	1.95162	1.70786
0.910625	0.698434	0.8798
0.139349	0.892843	-0.599841
0.0873394	0.293354	-4.81478
0.88204	2.0812	-1.07619
0.69549	0.772757	1.42325
0.971157	0.493409	1.02886
0.494057	0.144378	2.04851
0.0382518	0.00981981	1.15703
0.102402	1.22143	0.593413
0.483152	0.40492	-0.136229
0.881036	0.814958	-14.7185
0.709808	0.718958	0.293153
0.26192	0.444307	-111.117
0.285574	0.130481	0.128947
0.124158	0.754456	-0.919278
0.366865	3.16004	0.405482
0.225847	0.662575	0.859159
0.995719	0.166005	1.41188
0.0752831	0.666028	-2.8387
0.417683	0.544186	0.206889
0.20922	0.584607	3.88342
0.640815	0.581779	0.167418
0.403674	0.293269	2.4648
0.81421	0.5957	0.17226
0.172635	0.11206	-0.52794
0.717722	0.285972	-5.4585
0.706864	0.0143729	-1.55438
0.779497	0.0665355	-9.1944
0.187195	0.755115	-0.35828
0.460774	0.477773	-0.881023
0.692932	1.86624	0.200794
0.305682	1.11483	0.489254
0.778023	0.0271197	-5.40418
0.594433	1.24475	-0.720131
0.273951	0.060835	-0.00808062
0.176271	0.184422	1.48261
0.951199	0.0539838	7.32228
0.611916	0.197451	3.99964
0.386009	1.33124	1.10531
0.146025	0.379295	-1.12515
0.824282	1.56987	-2.19244
0.153132	0.127443	14.8479
0.0752474	0.655867	0.77714
0.872451	1.73225	-8.77031
0.247284	2.01652	4.53935
0.864988	1.26957	0.366942
0.0161242	0.778132	-0.964488
0.572756	0.516481	-0.903233
0.157588	2.43166	3.88462
0.00522049	2.18326	-8.28386
0.155645	2.69251	9.01951
0.0480621	1.06128	3.83665
0.891484	0.775531	1.12681
0.569857	0.072428	-0.102131
0.947355	0.380333	0.346682
0.573342	0.0809724	-0.171082
0.602666	1.26357	-0.0436304
0.737522	0.835146	0.255332
