N=1	N=2	N=10	N=100
0.948122	0.668416	0.467852	0.453623	
0.650496	0.530525	0.48427	0.509605	
0.534729	0.259119	0.60179	0.533605	
0.92457	0.360307	0.5349	0.45738	
0.645621	0.731362	0.445789	0.48493	
0.782814	0.308352	0.578338	0.481792	
0.804481	0.425752	0.320382	0.521137	
0.298266	0.29208	0.464783	0.505398	
0.255628	0.384307	0.307414	0.484358	
0.543558	0.331923	0.580969	0.527576	
0.0120572	0.335546	0.580474	0.535162	
0.661572	0.636809	0.543275	0.534716	
0.98867	0.467109	0.619592	0.485627	
0.571612	0.415797	0.571428	0.519321	
0.380169	0.540032	0.599851	0.467624	
0.115181	0.408136	0.434904	0.508248	
0.713802	0.558815	0.588481	0.549586	
0.132165	0.619496	0.482398	0.509648	
0.15928	0.0693943	0.495504	0.534476	
0.282678	0.541844	0.403659	0.521583	
0.595052	0.350527	0.555573	0.575536	
0.716471	0.342075	0.724541	0.517524	
0.577594	0.610043	0.530831	0.508324	
0.722054	0.359279	0.456867	0.490757	
0.452044	0.630118	0.348476	0.522584	
0.666316	0.130628	0.434963	0.527343	
0.854819	0.698289	0.57009	0.479264	
0.484298	0.544922	0.411776	0.549272	
0.452188	0.610213	0.560757	0.518689	
0.720522	0.255948	0.394679	0.473856	
0.0955636	0.307547	0.657299	0.525531	
0.333551	0.34521	0.329069	0.507621	
0.964326	0.710814	0.511902	0.540655	
0.0902555	0.65672	0.54538	0.507518	
0.0074142	0.325342	0.407657	0.53495	
0.158661	0.726055	0.465824	0.519699	
0.208548	0.270569	0.600548	0.490301	
0.985791	0.505876	0.483494	0.516663	
0.915668	0.316726	0.576557	0.521807	
0.0491801	0.507668	0.583374	0.525363	
0.12849	0.494254	0.418694	0.519185	
0.402872	0.374217	0.440716	0.471635	
0.610195	0.547091	0.417602	0.491671	
0.545946	0.710678	0.39279	0.507618	
0.438675	0.299336	0.711084	0.547998	
0.425768	0.409235	0.583547	0.445782	
0.392281	0.446801	0.482585	0.511635	
0.154608	0.368448	0.709765	0.57435	
0.652348	0.714824	0.574507	0.501049	
0.842152	0.451223	0.375963	0.460851	
0.116782	0.56205	0.641366	0.520552	
0.558329	0.945325	0.586328	0.513712	
0.0101347	0.786656	0.490705	0.517447	
0.0485562	0.601485	0.432733	0.468917	
0.967427	0.633032	0.358789	0.540733	
0.593207	0.495562	0.541372	0.482124	
0.386186	0.294125	0.531255	0.487622	
0.142301	0.653731	0.517241	0.516346	
0.674281	0.416242	0.572488	0.469481	
0.247679	0.23631	0.565351	0.504888	
0.569178	0.781788	0.582385	0.488098	
0.865629	0.401734	0.365512	0.481621	
0.489689	0.429742	0.445458	0.458309	
0.287592	0.411589	0.453962	0.499596	
0.767517	0.324546	0.294516	0.50284	
0.340618	0.734036	0.493572	0.479843	
0.683555	0.717866	0.558838	0.495011	
0.945304	0.500974	0.546095	0.45724	
0.0818209	0.495591	0.509756	0.522445	
0.991016	0.897192	0.601945	0.521635	
0.895653	0.337284	0.46427	0.54647	
0.0787751	0.473089	0.40505	0.518302	
0.177533	0.186247	0.467683	0.541897	
0.902283	0.817526	0.450023	0.519666	
0.280227	0.954035	0.2948	0.558408	
0.721244	0.08346	0.278986	0.471431	
0.974473	0.783944	0.605103	0.464826	
0.367985	0.570141	0.642867	0.496352	
0.979168	0.168147	0.464244	0.464886	
0.700985	0.539804	0.683901	0.488717	
0.189923	0.363106	0.381036	0.501315	
0.284667	0.312636	0.649845	0.51323	
0.640405	0.468297	0.655636	0.490303	
0.492291	0.764259	0.535261	0.489418	
0.713159	0.659284	0.568545	0.443469	
0.195058	0.287103	0.441869	0.515099	
