N=1	N=2	N=10	N=100
0.925965	1.49503	0.978861	0.988448	
0.935146	1.01221	0.648434	0.944311	
1.28897	1.53093	1.00231	1.07106	
0.385015	0.999755	0.780198	0.919297	
3.15442	0.570559	1.56377	0.955376	
0.676979	1.24466	1.01281	1.20408	
1.68391	0.168234	1.2037	1.1333	
0.0338404	2.43172	0.786484	1.00848	
0.82121	0.664854	1.31276	0.963484	
0.224748	0.672742	1.21709	1.04793	
0.269369	0.482548	1.46642	0.994061	
2.66754	1.59226	0.361368	0.937303	
1.15122	1.84466	0.983083	0.863366	
0.000916403	0.622912	0.842979	0.985133	
0.0784181	1.4453	1.03311	1.06939	
1.58024	1.96546	0.728818	0.893925	
0.520019	0.521082	0.823157	0.858567	
0.912636	4.33279	0.624224	0.994488	
1.64232	1.13483	0.651406	0.943279	
4.24964	1.00722	0.904981	0.943527	
0.255485	0.424252	1.42792	0.917936	
0.39996	1.519	0.915445	1.03456	
1.87199	1.22844	0.999423	0.851416	
0.688115	1.12404	0.805813	1.01368	
0.281328	1.15633	1.24827	1.10551	
2.37126	1.26895	0.608425	1.15738	
5.2498	1.51383	1.40588	0.819946	
0.630283	0.563481	1.05392	0.985627	
0.723304	0.948214	1.10278	0.882561	
0.118658	0.385163	0.63423	1.21453	
0.878397	0.805095	1.04422	1.09207	
1.18914	0.904052	0.832343	1.00413	
0.548257	0.515904	1.47537	0.902281	
0.0952515	0.162061	0.901447	1.12794	
0.0448659	0.556297	1.81074	0.906664	
0.497041	0.720842	1.45843	0.857845	
2.07272	0.341228	1.02964	1.07551	
1.25173	1.37667	1.10276	1.04113	
0.209441	0.250623	0.602288	0.919258	
0.900116	2.57712	0.717934	0.918305	
0.457003	1.21796	0.717276	1.03921	
1.0162	0.273008	1.02604	0.832934	
0.0705377	0.199204	1.39399	1.00625	
0.181677	0.515297	1.39955	0.918525	
3.67788	0.68229	2.42565	1.19037	
1.97096	1.33195	1.00812	1.01	
0.368436	0.590229	1.11732	0.930838	
0.629033	1.12533	1.23431	0.942906	
1.42028	0.595296	0.669774	1.03439	
1.29677	1.57457	1.13235	0.880368	
0.512659	0.301906	1.34316	0.95564	
0.0771706	0.884969	0.887347	0.994459	
0.289557	1.24011	1.11316	1.04079	
0.429262	0.774614	1.19002	0.841817	
0.674506	0.83996	1.06117	0.98533	
0.777544	0.62735	0.587932	1.03374	
0.812092	0.408856	0.912126	0.912477	
0.588731	1.63346	1.43851	1.00199	
0.335903	0.343159	0.707266	0.93708	
0.0928846	1.01252	0.807022	0.960638	
0.489895	1.69354	1.12824	0.993023	
1.11775	0.746278	1.27921	0.954785	
0.843733	0.432601	1.31188	1.03202	
0.369732	0.510996	1.03204	0.897104	
0.239837	0.672774	0.666808	0.939705	
0.086846	2.49965	0.560544	1.00787	
0.330358	1.22661	0.969677	0.93984	
0.0682424	1.25196	1.43231	1.12348	
1.42556	2.17914	0.75853	1.13528	
0.611304	0.268941	0.708676	0.975725	
1.08743	1.58392	0.641608	1.06815	
0.628496	0.226059	1.12389	1.209	
1.15526	0.665838	0.777741	0.997181	
1.17724	0.676347	0.763972	1.05677	
0.0360437	1.30731	0.626875	1.00132	
0.511878	1.51118	0.755925	1.06276	
0.855894	0.715196	0.653264	0.943085	
0.45097	0.465775	0.89616	1.13318	
0.218063	1.70176	0.648643	1.06668	
3.97822	1.18589	0.788579	0.917488	
1.25457	1.27238	1.25035	1.12465	
3.24282	0.827195	0.908735	0.929074	
0.454922	0.788954	1.22902	1.24225	
0.569965	1.06213	1.02094	1.11353	
1.73783	0.753291	0.920009	1.11969	
0.860873	0.442361	0.472681	0.931639	
0.653283	0.628112	0.787554	0.989857	
0.539457	0.804406	0.618775	0.881347	
0.376793	0.383034	1.37181	0.770144	
0.0146554	0.53028	0.822675	0.831569	
0.0115337	1.56555	0.896281	1.08909	
0.386366	0.989838	0.879783	1.06483	
0.156884	1.27668	0.654665	0.964049	
0.152278	0.523937	0.536214	1.01782	
0.732206	0.962915	0.712908	1.03067	
0.426859	2.47578	1.12321	0.96887	
0.42186	0.623983	0.774095	0.982101	
3.0309	0.4792	1.51455	1.00025	
1.84212	0.803859	0.608151	1.06916	
1.00443	0.128889	0.886958	0.948555	
0.245169	2.05789	0.549685	1.01869	
0.214665	1.98755	0.62311	1.00413	
3.60564	0.122484	0.463956	1.08201	
1.0421	1.15074	1.43008	0.992569	
1.10414	1.15789	1.22736	0.974754	
2.13672	0.892801	0.946473	0.951784	
1.7016	1.33832	1.25406	0.871993	
1.60764	0.909671	0.835337	0.899007	
0.486817	0.706417	1.0815	0.928636	
1.26665	1.27792	0.628853	1.09436	
0.628749	1.75038	1.96866	1.0584	
0.830498	0.706761	1.72032	0.99984	
0.60819	1.01662	2.14391	0.858188	
1.67219	1.00639	0.314747	1.18211	
0.901659	0.44252	1.24929	0.93102	
0.474162	0.420786	0.844263	0.934906	
2.06299	0.531139	0.617514	0.900896	
0.91526	0.353401	0.903639	0.913239	
1.73077	0.925772	1.00849	0.918483	
1.56145	0.235229	0.612948	1.06622	
2.35142	1.80518	1.026	1.02415	
0.0374953	0.427106	1.00391	0.843494	
0.299996	1.82842	0.726094	0.931097	
0.498055	1.09203	0.931599	0.999214	
0.16623	0.504915	1.15622	0.965677	
1.05495	1.55939	0.692702	0.789216	
0.194402	0.805627	0.846546	1.11779	
0.282385	1.27068	1.25227	1.19516	
2.31233	0.669832	0.849049	1.08336	
1.09345	0.638613	1.13077	0.891514	
0.554242	0.612205	1.26013	1.07535	
0.282605	0.44083	1.09305	0.891286	
1.71306	2.85041	0.59951	0.979237	
2.24715	0.848087	0.943397	0.784649	
0.576022	0.286904	1.50578	1.12373	
3.83968	0.0416312	0.430827	1.04565	
2.52086	0.850462	0.998539	0.993457	
0.887468	1.47386	0.946066	1.10018	
1.0121	1.02353	0.730832	0.912987	
0.323736	1.96239	0.385987	0.888772	
1.02115	0.464081	1.0007	1.00666	
0.884863	1.8974	0.857015	0.977326	
0.0927096	2.71331	0.819228	0.975477	
0.587345	1.07526	0.888089	1.00368	
2.00502	2.29238	0.592078	0.851273	
0.801806	0.327505	1.08588	0.907394	
2.09829	1.202	1.53265	1.0456	
1.33579	2.64479	1.38178	1.0651	
0.465488	0.710414	1.26899	0.892835	
0.697057	1.70244	0.906289	1.11678	
2.49346	0.172656	0.802258	1.14913	
0.719908	1.4249	1.22045	1.03404	
0.624699	0.455581	0.778122	0.987261	
0.031154	1.97343	0.724751	0.987656	
1.98564	1.65877	1.22182	0.912049	
2.18849	1.00434	0.799952	0.990722	
0.500582	1.16833	0.77017	0.778825	
0.772392	0.20329	0.746546	0.942812	
3.07701	1.77422	1.36626	0.923731	
1.48957	2.47474	1.15614	0.96895	
0.390846	0.789387	0.976897	1.14404	
0.445535	1.30381	1.05459	0.956855	
1.28772	1.11209	1.42852	0.912356	
3.54493	0.419523	1.01579	0.784609	
0.232102	1.66026	0.637137	1.01159	
0.13311	1.63656	0.629918	0.954228	
0.905311	2.95327	0.833364	1.07917	
0.174995	0.66685	1.14616	0.967731	
1.71948	0.481351	1.1731	0.912408	
3.23537	0.664053	0.872878	1.03454	
1.29125	1.0473	1.16058	1.20087	
0.134258	1.05473	0.996917	1.07287	
0.662922	1.48246	1.19542	0.884902	
1.94085	1.37431	0.996353	1.08664	
1.24302	0.31214	0.741059	0.800707	
0.756366	0.466166	0.472343	0.918641	
0.97599	1.84967	1.5151	1.18814	
1.04693	0.604557	1.00442	0.995346	
1.23213	0.870675	0.844227	1.05982	
1.44782	1.22336	0.62203	0.952309	
0.617465	0.506846	0.877406	1.11107	
0.731227	1.28916	1.4409	0.981633	
0.446006	1.65365	0.695734	1.05831	
1.09404	1.35841	0.699024	0.867701	
1.57573	1.55644	1.18722	1.08974	
1.45931	1.0188	0.794423	1.01969	
0.118475	1.0955	0.85859	0.984309	
0.899836	1.00795	1.54681	0.940478	
0.212086	1.33819	0.598593	1.30829	
0.0415447	2.05293	0.959527	1.0235	
1.11656	0.765411	0.847147	0.965222	
0.125887	1.13419	1.11995	0.965697	
0.227967	0.57839	1.29046	1.01484	
0.510265	1.02578	0.824191	1.10641	
0.886648	1.44805	1.41312	1.05095	
0.328002	2.02003	1.74467	0.97106	
0.650704	1.34108	0.374871	0.935695	
5.51331	0.431244	2.2517	1.02759	
0.578485	0.419153	1.43309	1.01303	
0.831688	1.65666	1.22656	0.980413	
0.329239	2.54662	0.625405	0.931382	
0.0720921	0.213262	0.852217	0.978898	
0.739122	0.366691	1.07878	0.866463	
1.79966	1.44364	1.00603	1.12322	
0.101244	0.301828	0.936425	1.03077	
0.0305051	1.50002	0.997342	1.04817	
3.27012	1.52357	1.14789	0.996194	
1.04104	3.83637	0.792386	1.14365	
3.19173	0.98797	0.823942	0.797783	
0.228146	0.955603	1.17486	0.989893	
0.0684907	0.36414	0.753752	1.07087	
3.17929	0.624858	0.78185	0.938615	
0.431819	0.222974	1.0506	0.819551	
0.0492646	0.957387	0.622257	1.15737	
1.96092	0.861797	0.759154	0.952415	
2.22701	2.22875	1.40777	0.999687	
0.20048	1.48665	0.782091	1.01131	
0.184736	0.648567	0.976795	1.12121	
1.15509	0.416475	0.458044	1.06929	
0.0246982	1.67081	1.31765	0.815487	
3.58939	0.427286	0.938872	0.960726	
0.142777	2.09737	0.856846	1.0171	
1.07766	3.21441	1.41815	1.01495	
0.0141705	0.506851	1.50167	1.04848	
0.285847	1.40307	0.660566	0.882175	
2.63873	0.883803	1.11996	1.0434	
1.1209	0.206042	1.16397	0.935357	
3.2744	0.670259	1.30198	0.896232	
2.02424	0.495233	0.675473	0.888687	
4.81036	0.5053	1.64641	1.12968	
0.296821	1.47085	1.28751	1.24978	
1.90752	1.36652	1.35357	1.05302	
2.23078	0.373253	1.36135	1.03397	
0.35609	1.78721	1.26541	0.834657	
0.907217	0.590367	1.17321	0.885566	
0.0804042	0.724819	0.743128	1.05931	
0.412252	0.212564	1.01531	1.01139	
0.273994	0.629648	1.31482	1.00577	
0.887518	0.2239	1.25076	1.25241	
0.384121	2.17257	0.637023	0.89022	
0.0748183	0.847439	0.959871	0.979805	
0.458174	0.593296	0.66638	0.977585	
0.193403	0.400777	1.34319	0.941984	
1.69152	0.855499	1.47063	0.948269	
0.0257885	0.730843	1.57691	1.01915	
0.0354415	0.916151	1.21064	0.874183	
0.290395	1.31299	0.646697	0.946101	
0.0546313	0.31155	0.84067	0.932522	
0.167851	2.22632	1.03151	1.10039	
2.88177	0.221482	0.68788	1.08909	
1.66317	0.132179	0.687256	0.997944	
1.0044	0.281974	1.03331	0.941148	
0.0724398	1.63978	0.730763	0.997555	
0.624753	0.20306	0.789543	0.997692	
0.214734	0.225102	0.659151	0.911553	
2.82647	0.979406	0.520801	1.03025	
0.52025	3.50199	1.29981	1.04239	
2.42982	1.0934	1.36875	1.16181	
0.840735	1.43669	1.43643	1.01179	
0.643264	0.332126	0.672028	1.21317	
1.25177	0.798239	1.02369	1.00873	
1.075	0.851981	1.23476	0.829242	
0.0740739	0.09452	0.962403	1.02708	
0.501056	1.23144	0.81455	1.05615	
0.713646	1.18183	1.79694	0.967904	
4.18843	3.11675	1.00858	1.06993	
0.344199	1.80585	0.902622	1.0518	
2.16369	1.13505	1.48676	0.992355	
3.10323	0.0851514	1.07918	1.11812	
2.04621	1.83629	1.17797	0.927526	
0.611888	1.0074	1.55691	1.11634	
0.125647	0.986965	0.625969	0.984749	
0.243046	1.5757	1.34266	1.08136	
1.41578	0.678336	1.75255	0.983018	
0.280217	0.352932	0.865167	1.16031	
0.738595	2.48704	1.2576	1.05379	
1.29613	3.10465	0.90162	0.982618	
1.27205	0.437576	0.794383	1.06501	
0.962054	1.78899	1.40824	0.989235	
0.18664	1.69044	1.29	1.0151	
0.13367	0.408888	0.967932	0.957119	
3.65202	0.941141	0.476211	1.12225	
1.05635	0.369404	0.695349	0.915145	
1.19723	0.482231	0.614792	1.1027	
0.823312	0.497147	0.880485	1.20434	
0.546462	0.836388	0.756133	1.16069	
0.358337	0.351182	0.456317	0.79407	
0.453665	0.0667889	1.11739	1.0544	
0.167694	0.655481	1.11638	0.898642	
1.12107	1.8146	1.7294	1.06966	
0.489698	0.422465	1.23865	0.972875	
1.24836	0.327997	0.38223	0.987244	
1.25379	0.152301	1.44085	0.996214	
0.179211	2.71896	0.856902	1.16852	
1.14975	0.725864	1.23352	0.962937	
0.704042	0.558878	0.539734	0.98235	
0.266213	0.632374	1.0747	0.921775	
0.337499	1.13247	1.01247	0.892528	
0.10918	0.215437	0.611535	1.07146	
7.60617	0.960698	0.31961	0.995428	
0.373082	2.77357	0.981016	1.11285	
1.64334	0.131708	1.48969	1.07381	
0.519045	1.06832	1.73223	1.10249	
0.817957	0.272929	0.867311	0.877455	
0.586975	3.9746	1.23458	1.14344	
1.99566	1.4567	0.890017	0.997301	
0.19119	1.04905	0.989171	0.926021	
0.832861	2.53937	0.820047	1.02171	
0.25988	0.606786	0.828101	1.14695	
1.41321	1.07746	0.946741	1.01368	
0.689084	0.596221	0.571125	1.05991	
1.15107	1.04448	1.23208	0.928654	
3.37454	1.14283	1.02541	1.15286	
0.568808	0.99576	0.696201	1.03156	
2.57561	0.548406	0.865603	0.943758	
2.15548	0.231491	0.91452	1.09673	
0.1601	1.16256	1.01531	0.963938	
0.35889	1.17616	1.07868	0.982564	
2.40647	2.0433	1.32292	1.08171	
0.040339	0.1716	0.851195	0.824098	
3.23917	0.599576	1.27678	0.998794	
2.59789	0.664186	1.11423	1.05562	
1.90071	0.521858	1.0238	1.0993	
0.249309	0.857974	0.662322	0.849134	
0.640457	2.21768	1.51251	0.86096	
1.28065	0.785664	1.80377	0.989461	
0.376328	0.809411	0.704868	1.01151	
0.636828	1.79069	1.01121	0.991625	
1.67575	3.64626	0.893582	0.969067	
0.374743	2.04588	0.914568	0.862218	
1.52755	1.91325	0.61376	0.942786	
0.515715	0.761402	0.744388	1.01708	
1.0836	1.25583	0.732751	1.0923	
0.341685	0.69072	0.603815	0.993694	
2.70021	0.57977	0.8096	1.0009	
0.799649	1.10089	0.671981	0.956236	
0.0238501	0.757001	1.20572	0.986039	
0.600578	1.97202	0.786492	1.05639	
0.289911	1.92522	0.799866	0.999552	
0.327853	0.609193	0.758781	1.07332	
2.37612	2.78054	0.982838	1.04894	
1.19194	0.866573	1.1944	1.02998	
0.240895	2.02489	0.641857	0.987697	
0.0117995	0.967228	1.00941	1.03303	
0.676493	0.357837	1.02261	0.833205	
1.0734	0.870868	1.23919	0.872523	
1.30233	1.02252	0.552855	1.06904	
0.685304	1.14751	1.25415	0.974127	
0.0789812	0.607513	1.44316	1.00469	
0.951394	0.483156	0.747593	1.1563	
0.42424	0.133859	1.18766	0.958122	
0.447893	1.10822	1.46581	1.02778	
2.26213	0.799106	0.645746	1.00248	
0.333728	1.30496	1.02567	0.815417	
1.81737	3.39791	0.792494	1.01893	
1.72098	1.02716	0.695886	1.18165	
0.40389	1.41574	1.28609	1.14322	
2.17503	0.459582	0.858319	1.21298	
1.89411	1.75481	0.71862	0.964152	
0.487924	1.16509	0.570562	1.08584	
0.620085	0.597415	0.763601	0.947297	
0.654121	0.351059	1.06216	0.947934	
0.175977	0.454269	1.1501	0.901512	
0.0305508	0.282232	1.4568	1.07303	
3.36091	1.09067	0.961143	0.997659	
0.507774	0.878022	1.01322	1.13364	
1.44337	0.49289	0.646122	1.17243	
0.520545	0.972522	1.6395	0.987107	
0.71285	0.751355	0.638388	0.966887	
2.93517	0.0859551	1.36774	0.926469	
1.68706	0.374005	0.709016	1.18075	
0.388934	1.44326	0.621466	0.917691	
0.887796	0.851557	0.786282	0.888436	
1.82084	0.722962	1.17179	1.158	
0.342115	1.15847	0.743623	0.978429	
0.536104	1.42058	0.857622	1.04984	
1.95642	1.4824	0.824032	1.00427	
1.38768	1.50514	0.95524	0.985635	
0.976742	0.681674	0.791775	0.975903	
0.511126	0.37918	1.09641	1.08129	
0.0955402	0.398522	1.62864	1.15413	
0.664327	0.793974	0.723839	1.11607	
0.207775	2.15273	1.0437	1.00127	
1.49771	0.406303	0.5137	0.938557	
0.542071	0.176699	1.23103	1.09816	
0.335421	1.63143	1.1741	0.761799	
0.535453	1.11943	1.08011	0.926778	
1.15151	0.555631	1.0456	1.02514	
0.691583	0.285443	0.718027	1.09113	
1.23596	1.82929	1.05818	1.03962	
1.17423	0.926262	1.21671	0.980662	
1.59527	0.665773	0.648085	0.828417	
0.0957433	0.559977	1.34548	1.11152	
0.126994	3.07033	1.33026	1.04959	
1.22702	0.991993	0.705237	1.02945	
1.0752	0.412906	0.939343	0.961157	
0.272627	1.26237	0.994726	0.874087	
0.155956	1.14482	0.679124	1.08265	
0.279321	0.387889	0.945922	1.0292	
0.51224	1.95638	0.768021	0.910567	
0.665731	1.24043	0.71945	1.10232	
1.74199	0.209822	0.79947	1.04808	
2.25202	0.829876	0.897677	0.826023	
0.08004	0.122702	1.32856	1.09242	
0.218638	0.568089	1.3339	1.16436	
0.593853	1.65487	0.821115	1.01211	
3.59887	0.194876	0.507486	0.736454	
0.181044	0.713442	1.09726	0.719299	
2.08589	1.04818	1.46751	1.11234	
2.68974	0.861668	0.881756	0.864867	
2.49314	0.518279	1.08311	1.14625	
0.997865	0.382602	1.03995	0.967268	
0.574437	1.20192	0.969949	0.970915	
0.214412	0.391179	0.995442	0.867908	
0.636735	0.199463	1.2702	0.958741	
0.285279	0.442678	1.20854	1.00848	
0.388803	0.655931	0.837349	0.940137	
2.19972	1.07121	0.598279	1.09665	
0.417729	1.19511	0.756068	0.849687	
1.70575	1.23936	1.77639	1.00553	
0.609746	0.261937	1.00526	0.937958	
1.47007	1.55586	0.775562	1.11403	
0.221562	0.568824	0.941175	1.048	
0.16081	1.92043	0.556003	0.848671	
2.9847	0.463964	0.985971	0.954966	
0.385088	0.672782	0.755236	1.00828	
1.63601	2.51891	1.21808	1.00869	
3.92751	2.19514	0.855609	0.819527	
0.590068	0.169448	0.764912	0.916539	
0.204152	1.03506	0.978355	1.03552	
0.906288	1.68474	0.743263	1.11336	
2.22999	0.645208	0.642792	0.928384	
3.45168	0.697439	0.920219	0.951915	
4.07247	0.433578	0.384454	1.03487	
1.80095	0.35411	1.11669	0.948026	
4.43172	0.901878	1.30273	0.922479	
0.201838	0.169192	1.02462	0.879309	
0.421269	1.2994	1.26171	1.02749	
1.95759	0.120329	0.384519	0.918397	
0.0213343	1.15495	0.853923	0.895067	
0.262795	0.74015	1.49172	1.07674	
1.01099	1.98051	1.84479	1.09457	
0.205207	0.452045	1.17336	1.10536	
1.13334	1.07065	1.17444	0.99777	
2.20872	1.38054	0.314946	1.09772	
1.65304	0.322498	0.519234	1.05193	
0.279318	0.34461	0.636579	0.920516	
1.48464	0.464463	0.495267	1.00831	
1.87131	0.235366	0.901787	0.997474	
0.647612	0.237447	0.69798	0.918317	
0.0552968	0.261568	0.844868	1.02308	
6.32623	2.20968	0.756187	0.956399	
1.09292	0.388495	0.882908	1.08004	
0.0699197	0.989594	0.419694	1.03932	
1.36556	1.52593	0.910225	1.21861	
0.0342628	1.56431	0.654851	0.926752	
1.14868	0.450809	0.685365	0.935133	
0.0189563	1.16802	0.575251	0.927719	
1.46161	1.66767	1.44637	1.02781	
1.89567	0.100114	0.381654	0.953481	
2.64214	0.538709	1.33454	1.01251	
0.162797	1.3338	0.850498	0.9622	
0.0293488	1.27916	0.98402	0.837155	
4.51795	0.933559	0.976455	0.996513	
0.638946	2.38355	0.648738	1.12314	
0.116235	1.35591	0.882153	0.981516	
2.18008	1.91935	0.938664	1.04924	
1.74257	0.829376	1.21059	1.00626	
1.38243	0.581845	0.622207	0.989945	
1.89449	0.735453	1.18023	1.06276	
0.962662	0.523639	1.67734	1.03609	
0.00285166	0.778476	0.805095	0.993475	
0.99911	1.26249	0.968957	1.09392	
0.416771	0.266601	1.17808	0.822228	
0.0184651	0.871323	1.50795	0.991601	
0.593377	0.749441	0.865942	1.00896	
1.80296	1.95321	1.0707	1.11548	
3.28501	1.59047	1.21092	1.07055	
0.641052	2.51528	1.65628	0.940793	
3.13595	1.12067	0.58246	0.952607	
2.99673	0.694157	0.941164	0.974781	
0.411382	0.718299	1.30651	0.929217	
0.130328	2.16381	1.32629	0.964769	
0.121785	2.77004	1.33292	0.997461	
0.805658	0.809809	0.745624	0.843655	
1.5269	1.08443	0.632319	0.92915	
0.451319	2.32591	1.21445	0.945423	
0.288743	0.303549	1.06304	0.914233	
1.64948	1.74171	0.986623	1.15152	
0.405254	0.610741	1.26484	0.879642	
0.837372	0.586934	1.10746	0.944322	
1.25838	1.00907	1.1866	1.08254	
0.474049	0.675433	0.913574	1.02144	
0.901784	0.541319	1.631	1.10621	
1.18218	1.28333	1.2379	0.969212	
1.49827	0.430091	0.839347	1.17991	
1.36842	0.889617	1.04678	1.05087	
0.0454822	0.254932	0.964259	0.954914	
1.53107	0.682149	0.922984	1.08167	
2.07753	0.283522	0.695214	0.97128	
1.94156	0.33825	0.558936	0.986174	
0.121073	0.335235	0.759349	0.90455	
1.72417	1.46574	1.32839	1.09341	
0.652404	0.78715	1.1316	0.998887	
1.95663	0.318525	0.840794	0.917347	
0.159005	0.595775	1.23199	0.922444	
4.99934	0.306773	1.62356	0.980508	
2.41345	1.4916	0.965923	1.08064	
0.475333	1.33756	0.787041	1.08559	
1.29008	0.386122	0.881076	1.10576	
0.364798	1.34107	0.89115	0.927046	
1.0157	0.649518	0.608434	1.08792	
1.39997	0.666642	1.14136	0.945804	
1.05269	0.467952	1.16317	0.923819	
0.207974	0.71023	1.03968	1.05124	
3.22167	0.326498	0.966181	1.02956	
1.60712	1.815	0.87797	1.01317	
2.37854	0.655931	0.923994	0.828284	
0.00359953	1.99503	1.28013	0.864991	
1.08921	2.12363	0.677085	0.884442	
0.906682	1.27752	0.474097	0.996184	
0.14042	1.23261	0.954393	0.990072	
0.349584	2.05052	0.867463	0.985793	
0.26199	0.692446	1.05515	0.879192	
0.411513	1.08208	1.24925	1.05968	
0.810419	1.47703	0.800149	1.10359	
0.678257	0.261175	1.10978	0.891607	
0.103421	0.522447	0.941046	0.781752	
0.179511	0.214851	1.71009	1.14381	
