N=1	N=2	N=10	N=100
-2.72689	-2.61324	-0.4808	-1.01135	
-0.862194	-0.329611	-0.250307	21.4494	
1.73881	0.230971	2.30411	0.000797948	
-0.0467771	0.055462	-0.750334	-0.362905	
-2.94419	-0.253753	0.0297452	0.289213	
-1.34913	-2.09119	0.156275	-0.0966495	
-0.0399824	-3.45746	4.28712	-8.81573	
1.82471	-0.762897	2.16008	27.801	
-4.08267	-2.17168	-0.0909543	-2.10518	
-1.30578	-158.282	1.35881	0.910851	
-0.00739825	-3.00138	1.42095	-0.066824	
1.89626	0.156597	-0.438535	-0.287107	
-0.909398	-2.74085	-1.81445	1.34032	
-4.18052	-2.54424	-3.74605	-4.04265	
0.699731	-3.29725	1.31795	0.502339	
0.447966	-0.494553	0.198915	3.82189	
-951.166	-3.08893	1.36295	0.427462	
-0.141102	-1.23816	0.649587	-0.0966531	
0.420744	0.140937	-1.2793	-1.70924	
-4.07571	0.491148	-2.08029	-0.146796	
15.4303	-1.66303	1.52262	-0.113604	
0.447988	0.519522	-2.32593	0.0234724	
-3.20677	-0.393834	0.585368	0.259166	
0.14088	-3.05668	2.91992	1.31901	
1.30655	-0.427539	-1.34631	1.76348	
-0.0395896	-2.377	0.105464	0.561434	
-1.16431	0.0219423	1.18153	-0.928818	
-0.950509	-6.63624	1.85313	0.694844	
42.608	1.33195	-11.8112	-0.398813	
1.51707	1.66147	213.695	3.0604	
4.53404	4.66776	2.03201	0.295196	
-1.36868	1.95863	1.48425	-0.134625	
-39.8544	0.100743	0.367652	-2.94723	
-0.417108	1.68825	0.0648407	0.561739	
0.126838	-2.5416	0.142384	-1.23943	
-4.017	2.02053	2.12487	0.117169	
73.2744	3.11355	-0.0228242	2.20271	
-3.34691	0.0795804	1.56941	-2.45059	
0.149912	-1.37748	5.19856	6.35321	
0.512466	-0.555174	-0.593347	-0.266199	
1.10164	0.41573	0.645959	0.536865	
1.46368	0.789861	-0.911213	-1.41081	
0.989209	-1.19643	0.917507	0.279244	
3.91801	-0.600675	16.4812	-1.13906	
-13.6668	-0.620319	-1.30272	-0.147145	
-1.1241	1.29393	-0.288588	-0.882269	
-0.278722	-1.39805	-0.113609	0.12	
5.7767	-2.87628	-0.460172	-0.150114	
0.0314758	-0.924223	-0.162269	0.0353708	
-0.628689	-0.594343	-0.756705	-2.30291	
0.181042	-0.39157	1.57191	5.29894	
-3.43553	-0.00741503	-1.6289	1.43703	
0.961431	0.473567	0.825333	0.507245	
2.07481	-1.33415	1.29265	-1.65976	
-8.41725	-1.45141	-0.139011	-1.01753	
0.463146	1.96328	-0.257478	1.90835	
1.07791	-0.311106	0.190797	-0.564155	
-0.786421	-0.991573	-1.06868	0.258991	
-0.914497	-2.86215	-0.036716	0.258698	
-7.66072	-0.0931759	0.211993	6.95781	
1.584	-13.3349	-0.123529	5.24258	
-27.512	1.19434	-0.242923	-0.702063	
-2.94473	3.0919	-0.849192	0.687334	
0.512086	8.57264	0.0500796	0.492489	
2.26075	-1.04957	-27.6716	-2.94713	
1.61972	2.74646	1.31904	2.59997	
-0.0149906	8.62155	-0.681288	-7.41579	
-1.71455	0.126041	-23.5639	0.108156	
1.13684	1.28964	-0.622833	0.158029	
-0.580875	1.63479	0.0964041	0.752084	
2.04146	-1.93006	-3.44093	-0.509754	
3.50722	-0.035926	-1.60374	-0.0647436	
2.46062	-4.67616	1.39444	-0.280111	
0.511647	2.60342	-2.25125	-0.360958	
-2.05046	-9.62898	1.39637	-1.39833	
-0.245132	-2.34665	1.30631	1.9931	
-1.62685	-0.475631	2.71214	0.572583	
0.174066	0.161585	-0.528463	-2.94743	
-1.69783	8.63832	-0.872955	0.807806	
-1.62952	-1.10555	0.112771	-2.10466	
6.1888	-0.880361	0.836878	0.239484	
0.4342	-0.774587	4.77258	-0.136016	
-4.70001	-1.091	2.26385	2.96089	
1.74509	-1.38366	-1.27909	2.28955	
0.94589	-22.3926	0.352331	-0.857604	
0.536925	0.15858	0.701865	47.9554	
3.1665	3.09522	0.581407	-0.746713	
0.0231772	-0.51267	-0.0386152	-7.91646	
-2.07967	2.91592	0.716654	1.38003	
1.48829	-1.09053	0.0861884	-0.216798	
1.10237	7.29957	-5.27217	2.07816	
1.69313	1.68197	0.667762	36.9298	
-0.0434305	-5.62098	-0.209142	0.112359	
-1.96628	-2.37404	-1.80974	-2.99195	
1.7761	42.0107	0.945546	-0.0270238	
-5.62773	-0.648807	-5.76666	4.70222	
-2.42055	1.5508	0.390588	-1.06184	
0.101934	9.58852	-2.29647	3.9845	
0.784664	0.0658785	-25.1088	0.0698465	
-1.20484	0.0477891	0.129113	0.178777	
-0.461415	1.68425	-7.42007	-4.49126	
1.04798	-1.20987	2.93802	0.626431	
-3.7858	1.14491	-5.11591	2.08233	
4.00146	-0.894186	0.389131	-9.47378	
-2.00353	1.65534	0.232672	0.475892	
-0.279698	-6.37623	-45.9974	0.915492	
-52.5915	-65.2316	8.05813	1.17066	
0.448333	0.1856	-0.514024	0.031167	
