comulative_averages	 uncertainty
3.14363	0
3.14238	0.00124975
3.14379	0.00158379
3.14452	0.00133497
3.14438	0.00104241
3.14317	0.00148578
3.14337	0.00127158
3.14327	0.00110568
3.14276	0.00109792
3.14233	0.00107232
3.14204	0.00101359
3.14245	0.00101238
3.14201	0.00102984
3.14144	0.00111105
3.14144	0.00103434
3.14142	0.000967866
3.14167	0.000944793
3.14186	0.000909671
3.1419	0.000861578
3.14168	0.000845977
3.14185	0.000821023
3.14158	0.000826138
3.14147	0.000797901
3.14152	0.000766012
3.14142	0.000741378
3.14145	0.000712974
3.1413	0.000702134
3.14131	0.000676599
3.14108	0.000690938
3.14116	0.000672504
3.14117	0.000650452
3.14132	0.000647725
3.1412	0.000639141
3.14118	0.000620344
3.14136	0.000630506
3.14124	0.000625966
3.14116	0.000613116
3.14116	0.000596774
3.14117	0.000581311
3.14105	0.000577875
3.14114	0.000570998
3.14112	0.000557603
3.14107	0.00054723
3.14109	0.000534996
3.14111	0.000523302
3.14119	0.000517796
3.14117	0.00050709
3.14122	0.000499071
3.14116	0.000491548
3.14125	0.000488469
3.14126	0.00047913
3.14126	0.000469891
3.14122	0.000462013
3.14119	0.000454639
3.14116	0.000447629
3.14113	0.000440399
3.14116	0.000433679
3.1412	0.00042798
3.14119	0.000420855
3.14125	0.000419082
3.14133	0.000419125
3.14132	0.000412484
3.14138	0.000410635
3.14139	0.000404315
3.14132	0.000403589
3.1414	0.000404099
3.1414	0.000398022
3.14133	0.000398177
3.14135	0.000392869
3.14136	0.000387517
3.1413	0.000386872
3.14128	0.000382048
3.14134	0.00038181
3.14139	0.000379714
3.14132	0.000380656
3.1413	0.000376369
3.14131	0.000371626
3.14131	0.000366837
3.14136	0.000365805
3.14139	0.000362011
3.14143	0.000360111
3.14147	0.000357903
3.14145	0.000353892
3.14148	0.000350532
3.14145	0.000347326
3.14146	0.000343336
3.14143	0.00034102
3.14139	0.000339578
3.14138	0.000335741
3.14137	0.000332149
3.14145	0.00033638
3.14143	0.000333053
3.1415	0.000335557
3.14152	0.000332998
3.14148	0.000332401
3.1415	0.000329936
3.14148	0.000327771
3.14152	0.000327593
3.14154	0.000324762
3.14154	0.000321538
