best	 mean
1110.49	   1.1018e+03

803.557	   9.3463e+02

694.318	   7.9322e+02

636.482	   7.1866e+02

598.387	   6.7232e+02

548.942	   6.2784e+02

528.301	   5.8017e+02

502.685	   5.4699e+02

493.882	   5.2650e+02

491.291	   5.0974e+02

470.962	   4.9668e+02

463.524	   4.8289e+02

452.505	   4.7018e+02

445.374	   4.6061e+02

445.374	   4.5265e+02

445.374	   4.4829e+02

438.033	   4.4673e+02

435.117	   4.4431e+02

425.606	   4.3970e+02

417.546	   4.3303e+02

414.324	   4.2649e+02

400.617	   4.1911e+02

380.221	   4.0925e+02

375.371	   3.9459e+02

366.457	   3.8151e+02

336.929	   3.6346e+02

333.444	   3.4808e+02

333.444	   3.3852e+02

326.413	   3.3559e+02

324.478	   3.3197e+02

324.478	   3.2741e+02

324.478	   3.2520e+02

324.187	   3.2448e+02

321.564	   3.2445e+02

321.564	   3.2409e+02

316.26	   3.2278e+02

313.841	   3.2005e+02

312.242	   3.1664e+02

312.013	   3.1417e+02

312.013	   3.1284e+02

311.968	   3.1207e+02

311.376	   3.1200e+02

308.227	   3.1164e+02

308.227	   3.1077e+02

304.89	   3.0954e+02

304.89	   3.0866e+02

304.89	   3.0728e+02

304.89	   3.0571e+02

301.87	   3.0474e+02

301.87	   3.0343e+02

300.562	   3.0215e+02

300.562	   3.0195e+02

300.562	   3.0171e+02

298.578	   3.0133e+02

298.578	   3.0055e+02

298.578	   2.9964e+02

298.578	   2.9951e+02

296.621	   2.9925e+02

296.621	   2.9822e+02

296.621	   2.9699e+02

296.621	   2.9662e+02

294.212	   2.9662e+02

291.513	   2.9648e+02

291.513	   2.9583e+02

291.513	   2.9473e+02

291.513	   2.9421e+02

291.513	   2.9421e+02

291.513	   2.9421e+02

291.513	   2.9421e+02

291.513	   2.9421e+02

291.513	   2.9421e+02

286.457	   2.9153e+02

286.457	   2.8823e+02

286.457	   2.8718e+02

286.457	   2.8718e+02

286.457	   2.8718e+02

286.074	   2.8718e+02

283.845	   2.8658e+02

281.147	   2.8553e+02

281.147	   2.8413e+02

281.147	   2.8380e+02

281.147	   2.8369e+02

281.147	   2.8369e+02

281.147	   2.8369e+02

281.147	   2.8369e+02

281.147	   2.8369e+02

281.147	   2.8369e+02

281.147	   2.8363e+02

281.147	   2.8342e+02

281.147	   2.8320e+02

281.147	   2.8320e+02

281.147	   2.8320e+02

281.147	   2.8320e+02

281.147	   2.8320e+02

276.481	   2.8133e+02

276.481	   2.7837e+02

276.481	   2.7649e+02

276.481	   2.7648e+02

276.481	   2.7648e+02

276.481	   2.7648e+02

276.481	   2.7648e+02

276.481	   2.7648e+02

276.481	   2.7648e+02

276.481	   2.7648e+02

276.481	   2.7648e+02

276.481	   2.7648e+02

276.481	   2.7648e+02

276.481	   2.7648e+02

276.481	   2.7648e+02

276.481	   2.7648e+02

276.481	   2.7648e+02

276.481	   2.7648e+02

276.481	   2.7648e+02

276.481	   2.7648e+02

276.481	   2.7648e+02

276.481	   2.7648e+02

276.481	   2.7648e+02

275.588	   2.7643e+02

275.588	   2.7636e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.588	   2.7634e+02

275.489	   2.7606e+02

275.489	   2.7569e+02

275.15	   2.7549e+02

275.15	   2.7549e+02

275.15	   2.7549e+02

274.479	   2.7542e+02

274.479	   2.7527e+02

274.479	   2.7515e+02

274.479	   2.7515e+02

274.479	   2.7515e+02

274.479	   2.7515e+02

274.479	   2.7515e+02

274.479	   2.7515e+02

274.479	   2.7515e+02

274.479	   2.7515e+02

274.479	   2.7515e+02

274.479	   2.7515e+02

274.14	   2.7504e+02

271.962	   2.7471e+02

271.962	   2.7425e+02

271.962	   2.7414e+02

271.962	   2.7414e+02

271.962	   2.7414e+02

271.962	   2.7356e+02

271.962	   2.7259e+02

271.962	   2.7196e+02

271.962	   2.7196e+02

271.962	   2.7196e+02

271.962	   2.7196e+02

271.962	   2.7196e+02

271.962	   2.7196e+02

271.962	   2.7196e+02

271.962	   2.7196e+02

271.962	   2.7196e+02

271.962	   2.7196e+02

271.962	   2.7196e+02

271.962	   2.7196e+02

271.962	   2.7196e+02

271.962	   2.7196e+02

271.962	   2.7196e+02

271.962	   2.7196e+02

271.962	   2.7196e+02

271.962	   2.7196e+02

271.962	   2.7196e+02

271.962	   2.7196e+02

271.917	   2.7196e+02

271.917	   2.7195e+02

271.917	   2.7193e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

271.917	   2.7192e+02

