comulative_averages	 uncertainty
1.0017	0
0.999022	0.00267464
0.997388	0.00224801
0.997293	0.00159238
0.997982	0.00141244
0.997902	0.00115603
0.99848	0.00113537
0.998283	0.0010028
0.998543	0.000921942
0.998569	0.000825006
0.998946	0.000836261
0.998988	0.000764509
0.999073	0.000708389
0.999184	0.000665212
0.999175	0.000619346
0.999395	0.000619707
0.999365	0.000582904
0.999439	0.000554641
0.99958	0.000543154
0.999689	0.000526728
0.999606	0.000507835
0.999695	0.000492266
0.999692	0.000470389
0.999717	0.000451057
0.999833	0.000447964
0.999766	0.000435487
0.999942	0.00045448
0.999941	0.000437951
0.999757	0.000460723
0.999683	0.000451301
0.999711	0.000437399
0.999772	0.000427931
0.999762	0.000414875
0.999758	0.000402506
0.999792	0.000392242
0.99982	0.000382214
0.9998	0.000372248
0.999755	0.000365106
0.999694	0.000360914
0.999673	0.000352399
0.999566	0.000359907
0.999555	0.0003514
0.999567	0.000343339
0.999496	0.000342922
0.999463	0.000336775
0.999422	0.000331993
0.999371	0.000328722
0.999425	0.000326235
0.999401	0.000320428
0.999453	0.000318294
0.999433	0.000312633
0.999472	0.000308986
0.999458	0.000303419
0.999496	0.000300133
0.999448	0.000298422
0.999526	0.00030316
0.999484	0.000300649
0.999495	0.000295593
0.999513	0.000291127
0.99957	0.000291934
0.999526	0.000290592
0.999574	0.000289919
0.999602	0.000286666
0.99962	0.000282734
0.999567	0.000283463
0.999487	0.000290135
0.999476	0.000286009
0.999499	0.000282718
0.999482	0.000279094
0.999482	0.000275079
0.999499	0.000271705
0.999513	0.000268262
0.999532	0.000265219
0.999494	0.000264384
0.999493	0.000260835
0.99956	0.000265941
0.999604	0.00026608
0.999645	0.000265883
0.999711	0.000270636
0.999725	0.000267574
0.999745	0.000265032
0.999717	0.000263308
0.999686	0.000261995
0.999651	0.000261099
0.999644	0.000258104
0.999697	0.000260355
0.999666	0.000259107
0.999693	0.000257564
0.999687	0.000254744
0.999691	0.000251942
0.999683	0.000249305
0.999614	0.000256045
0.999655	0.000256655
0.999661	0.000253984
0.999702	0.000254473
0.99974	0.000254681
0.999738	0.000252045
0.999726	0.000249751
0.999752	0.000248559
0.999797	0.000250018
