comulative_averages	 uncertainty
0.999259	0
0.999085	0.000173784
0.99901	0.000125515
0.999247	0.000253197
0.999273	0.000197778
0.999247	0.000163517
0.999322	0.000157297
0.999411	0.000162475
0.999598	0.000235802
0.999656	0.000218758
0.999703	0.000203337
0.999708	0.000185702
0.999635	0.000185983
0.999675	0.000176762
0.999605	0.000178814
0.999805	0.000260661
0.999827	0.000245878
0.999863	0.00023454
0.999909	0.000226645
0.999835	0.000227371
0.99975	0.000232305
0.999751	0.000221494
0.999827	0.000224877
0.999855	0.000217123
0.999913	0.000216148
0.999959	0.000212818
1.00001	0.000209916
1.00001	0.000202427
1.00005	0.000199281
0.999936	0.000225035
0.999897	0.000221165
0.999812	0.000230251
0.999822	0.000223394
0.999774	0.000222098
0.99973	0.000219993
0.999698	0.000216149
0.999698	0.000210226
0.999714	0.000205201
0.99969	0.000201267
0.999698	0.000196319
0.999646	0.000198352
0.999679	0.000196291
0.9997	0.000192837
0.999725	0.000190089
0.999686	0.00018982
0.999708	0.00018697
0.999732	0.00018446
0.999771	0.000184751
0.999781	0.000181225
0.999782	0.000177566
0.999781	0.000174054
0.99974	0.000175537
0.999766	0.000174152
0.99976	0.000170999
0.999752	0.000168042
0.999743	0.000165273
0.999734	0.000162578
0.999741	0.00015988
0.999733	0.000157305
0.999758	0.000156525
0.999789	0.000157042
0.999784	0.000154568
0.999781	0.000152119
0.999786	0.0001498
0.999783	0.000147512
0.999787	0.000145329
0.99983	0.000149508
0.999845	0.000148076
0.999858	0.000146442
0.999827	0.000147693
0.999864	0.00015038
0.999881	0.000149289
0.999885	0.00014727
0.999871	0.000145943
0.999878	0.000144138
0.999922	0.000149002
0.999907	0.000147774
0.999915	0.000146048
0.99994	0.000146337
0.999951	0.000144906
0.999946	0.000143176
0.999938	0.000141663
0.999937	0.000139947
0.999949	0.000138734
0.999932	0.000138078
0.999899	0.000140528
0.999896	0.000138934
0.999914	0.000138508
0.999943	0.00013997
0.999944	0.000138418
0.999958	0.00013759
0.999921	0.000140985
0.999924	0.000139482
0.999944	0.000139485
0.999929	0.000138798
0.999926	0.000137383
0.999913	0.000136564
0.999903	0.000135545
0.999896	0.000134361
0.999921	0.000135374
