comulative_averages	 uncertainty
1.00118	0
1.00028	0.000900012
1.00038	0.000529601
1.00025	0.00039636
1.00004	0.000369449
0.999969	0.000310903
0.999835	0.000294938
0.999879	0.000259231
0.999951	0.000239771
0.999978	0.000216034
1.00003	0.000203438
0.999977	0.000194422
0.999974	0.000178868
0.999959	0.000166256
0.999912	0.000161807
0.999867	0.000157652
0.999895	0.000150692
0.999905	0.000142386
0.999936	0.00013826
0.99995	0.000131865
0.999948	0.000125437
0.999947	0.00011961
0.999894	0.000125596
0.999853	0.000127316
0.999852	0.000122118
0.999857	0.000117443
0.999849	0.000113296
0.999862	0.000109912
0.999902	0.000113344
0.999926	0.00011203
0.999911	0.000109309
0.999915	0.000105886
0.999935	0.000104655
0.999923	0.00010229
0.999921	9.9345e-05
0.99992	9.65513e-05
0.999943	9.6778e-05
0.99996	9.57481e-05
0.999951	9.3756e-05
0.999957	9.16071e-05
0.999961	8.94229e-05
0.999952	8.77003e-05
0.999937	8.69208e-05
0.999932	8.50835e-05
0.99995	8.506e-05
0.999965	8.45301e-05
0.999962	8.27653e-05
0.999968	8.12376e-05
0.999982	8.07885e-05
0.999985	7.92096e-05
0.99998	7.77814e-05
1	7.99453e-05
1.00002	7.9566e-05
1	7.93397e-05
1.00001	7.79082e-05
1.00001	7.6556e-05
1.00001	7.52036e-05
1.00001	7.39234e-05
1.00001	7.26612e-05
1.00001	7.1541e-05
1.00001	7.03685e-05
1.00002	6.98471e-05
1.00001	6.9437e-05
1.00002	6.86726e-05
1	6.93213e-05
1.00001	6.86017e-05
1.00001	6.77589e-05
1.00001	6.67659e-05
1.00001	6.58742e-05
1.00001	6.49725e-05
1.00001	6.40518e-05
1	6.32488e-05
1.00001	6.24481e-05
1.00001	6.21635e-05
1.00003	6.27469e-05
1.00004	6.25575e-05
1.00003	6.17836e-05
1.00003	6.10119e-05
1.00004	6.04445e-05
1.00004	5.97052e-05
1.00004	5.90001e-05
1.00005	5.99571e-05
1.00005	5.92454e-05
1.00006	5.88646e-05
1.00005	5.82001e-05
1.00006	5.75454e-05
1.00005	5.69342e-05
1.00005	5.63261e-05
1.00004	5.61331e-05
1.00005	5.56052e-05
1.00005	5.50118e-05
1.00004	5.46831e-05
1.00003	5.49784e-05
1.00003	5.44134e-05
1.00003	5.39121e-05
1.00003	5.33741e-05
1.00003	5.32104e-05
1.00004	5.27547e-05
1.00003	5.23297e-05
1.00003	5.19293e-05
