comulative_averages	 uncertainty
0	0
1	0
1.41605	0.00445966
1.73278	0.00588091
2.00455	0.00719071
2.23559	0.00912801
2.45192	0.0100415
2.65151	0.0112772
2.84051	0.0123683
3.00382	0.0129758
3.17666	0.0140776
3.33333	0.0146563
3.47332	0.0151222
3.61142	0.014924
3.74356	0.0147487
3.87399	0.0149568
4.00149	0.0153957
4.12362	0.0159896
4.24369	0.0169401
4.37145	0.018819
4.47487	0.0191131
4.58709	0.0195907
4.69804	0.0199433
4.80222	0.0199804
4.89631	0.0200841
4.99832	0.0203579
5.09937	0.0203442
5.19553	0.021418
5.29859	0.0217508
5.38393	0.0218935
5.46796	0.0222632
5.56888	0.0208881
5.65099	0.0211324
5.72834	0.021812
5.81818	0.0219113
5.90659	0.0226639
5.99306	0.0229845
6.07479	0.0233925
6.16925	0.0233506
6.25199	0.0234449
6.34619	0.0240856
6.41838	0.0255848
6.49443	0.0256396
6.57056	0.025649
6.65068	0.0268038
6.71864	0.027804
6.78986	0.0278305
6.86356	0.0292199
6.93608	0.0300314
7.01876	0.0299096
7.08392	0.0311633
7.15171	0.031466
7.21325	0.0323656
7.27824	0.0330764
7.34188	0.0324558
7.41507	0.0333888
7.4823	0.0339709
7.54726	0.0342338
7.61464	0.0341821
7.68338	0.0340645
7.75782	0.0349392
7.82611	0.0352803
7.88948	0.0356818
7.94687	0.0357276
8.00681	0.036803
8.06576	0.0359693
8.12363	0.0354358
8.18986	0.036226
8.24562	0.0365731
8.30407	0.0358297
8.35871	0.0364734
8.41289	0.0365912
8.4748	0.0359503
8.53	0.036701
8.58652	0.0378215
8.6472	0.0374442
8.70429	0.0377104
8.75139	0.0374086
8.80001	0.0378362
8.85666	0.0390154
8.90706	0.0391322
8.96319	0.0396049
9.02295	0.0402175
9.08202	0.040123
9.14713	0.0408372
9.19657	0.0416373
9.25049	0.0419623
9.30463	0.0420242
9.35681	0.0420457
9.40812	0.0408175
9.46598	0.0402296
9.5286	0.0407843
9.5879	0.0416118
9.63899	0.0412927
9.68677	0.0409261
9.74506	0.039906
9.79238	0.0403005
9.84334	0.0405764
9.90312	0.0416395
9.95452	0.0421936
