comulative_averages	 uncertainty
15.0458	0
15.1179	0.072142
14.9846	0.139652
15.0339	0.110346
15.0335	0.0854744
15.0161	0.0719172
15.0184	0.0608234
15.0607	0.0675724
15.0438	0.0619428
15.0281	0.0575956
14.9783	0.0720867
14.9717	0.0661326
15.0026	0.0682171
14.9987	0.0632732
14.9953	0.0590062
14.9858	0.0560055
14.9726	0.0542422
14.9726	0.0511401
14.9679	0.0485959
14.9661	0.0461394
14.978	0.0454892
14.9829	0.0436503
14.9823	0.0417141
14.9821	0.039939
14.9765	0.0387073
14.983	0.0377426
14.9896	0.0369285
14.9941	0.0358617
15.0078	0.037203
15.0074	0.0359436
15.0124	0.0351217
15.0137	0.0340343
15.0155	0.0330337
15.0144	0.0320653
15.0035	0.032984
14.9931	0.0337192
14.9904	0.0329028
14.9826	0.0329689
14.9841	0.0321464
14.9785	0.0318227
14.9816	0.0311869
14.9846	0.0305887
14.9801	0.0302164
14.9762	0.0297738
14.977	0.0291155
14.9623	0.0320233
14.9627	0.0313373
14.9588	0.0309326
14.9582	0.0303004
14.9632	0.0301067
14.9666	0.0297094
14.9609	0.029695
14.9576	0.0293094
14.9554	0.0288478
14.9545	0.0283334
14.9519	0.0279399
14.9514	0.02745
14.95	0.027012
14.951	0.0265696
14.9517	0.0261321
14.9468	0.0261482
14.9456	0.0257518
14.9442	0.0253803
14.9417	0.0251086
14.9435	0.0247899
14.9427	0.0244257
14.9363	0.0249009
14.9343	0.0246134
14.9323	0.0243326
14.9366	0.0243551
14.9327	0.0243135
14.9369	0.0243331
14.9378	0.0240154
14.9328	0.0242121
14.9386	0.0245696
14.9411	0.0243804
14.9414	0.0240627
14.942	0.02376
14.9451	0.0236618
14.9446	0.0233684
14.9454	0.0230902
14.945	0.0228094
14.9446	0.0225368
14.9448	0.0222679
14.9464	0.0220568
14.943	0.0220519
14.9453	0.0219121
14.9469	0.0217215
14.9441	0.0216583
14.9473	0.0216604
14.9487	0.0214627
14.9463	0.0213526
14.9483	0.0212151
14.9493	0.021012
14.9492	0.0207901
14.945	0.0209955
14.9482	0.0210249
14.9508	0.0209715
14.951	0.0207595
14.9527	0.0206229
