               block cumulative_averages         uncertainty
                   1              1.5009                   0
                   2             1.49397          0.00692444
                   3             1.49136          0.00477609
                   4             1.49273          0.00364607
                   5             1.49778          0.00577939
                   6             1.49643          0.00490785
                   7              1.4972          0.00421911
                   8             1.49636           0.0037484
                   9             1.49644          0.00330675
                  10             1.49556          0.00308578
                  11             1.49557          0.00279121
                  12             1.49519          0.00257605
                  13             1.49412           0.0026009
                  14             1.49618          0.00316658
                  15             1.49466          0.00331818
                  16             1.49499          0.00312207
                  17             1.49457          0.00296228
                  18             1.49363          0.00294678
                  19             1.49398          0.00280821
                  20             1.49468          0.00275492
                  21             1.49453          0.00262469
                  22             1.49572          0.00277241
                  23             1.49655          0.00277616
                  24             1.49607          0.00270158
                  25             1.49693          0.00273065
                  26             1.49612          0.00274481
                  27             1.49705          0.00280073
                  28             1.49788          0.00282224
                  29             1.49759          0.00273904
                  30             1.49852          0.00280538
                  31              1.4987          0.00271956
                  32             1.49902          0.00265206
                  33             1.49897          0.00257079
                  34             1.49901          0.00249431
                  35             1.49877          0.00243436
                  36             1.49835          0.00240233
                  37             1.49824            0.002339
                  38             1.49821          0.00227683
                  39             1.49843          0.00222859
                  40             1.49802          0.00221096
                  41             1.49804          0.00215653
                  42             1.49846          0.00214484
                  43             1.49875          0.00211477
                  44             1.49857          0.00207402
                  45             1.49899          0.00207105
                  46             1.49922          0.00203831
                  47             1.49953            0.002018
                  48             1.49934          0.00198415
                  49              1.4995          0.00194974
                  50             1.49979          0.00193229
                  51             1.49993          0.00189863
                  52             1.49996          0.00186202
                  53             1.49977          0.00183598
                  54             1.49958          0.00181218
                  55              1.4996          0.00177915
                  56             1.49952          0.00174883
                  57             1.49949          0.00171827
                  58             1.49948          0.00168839
                  59              1.4996          0.00166396
                  60              1.4996            0.001636
                  61             1.49942          0.00161951
                  62             1.49926          0.00160116
                  63             1.49914             0.00158
                  64             1.49908          0.00155634
                  65             1.49879          0.00155914
                  66             1.49917          0.00158227
                  67             1.49901          0.00156706
                  68             1.49913          0.00154819
                  69              1.4994          0.00155069
                  70             1.49931          0.00153133
                  71             1.49944          0.00151581
                  72             1.49968          0.00151349
                  73             1.50012          0.00155663
                  74             1.50006           0.0015368
                  75             1.50033          0.00153953
                  76             1.50049          0.00152747
                  77             1.50071          0.00152364
                  78             1.50054          0.00151341
                  79             1.50024          0.00152429
                  80             1.50027          0.00150547
                  81             1.50016          0.00149075
                  82             1.50027          0.00147617
                  83             1.50039          0.00146396
                  84             1.50043          0.00144686
                  85             1.50025          0.00144069
                  86             1.50033          0.00142599
                  87             1.50033          0.00140951
                  88              1.5002          0.00139974
                  89             1.50015          0.00138476
                  90             1.50014          0.00136933
                  91             1.49999           0.0013624
                  92             1.50018          0.00136046
                  93             1.49976          0.00140765
                  94             1.49978          0.00139268
                  95             1.50008          0.00141107
                  96             1.49994          0.00140358
                  97             1.50016          0.00140637
                  98             1.50021          0.00139291
                  99             1.50018          0.00137908
                 100             1.50014          0.00136582
