               block cumulative_averages         uncertainty
                   1             4.98092                   0
                   2             4.97813          0.00279345
                   3             4.98603          0.00806239
                   4             4.99126          0.00773868
                   5             4.99954           0.0102216
                   6             5.00144          0.00855921
                   7             5.00119          0.00723831
                   8             5.00506          0.00736934
                   9             5.00081          0.00776395
                  10             4.99902          0.00717231
                  11              5.0033          0.00777295
                  12              5.0026          0.00713029
                  13             5.00044          0.00690474
                  14             4.99961          0.00644573
                  15             5.00045          0.00605837
                  16             4.99943          0.00575725
                  17             5.00052          0.00551601
                  18              4.9987          0.00550849
                  19             4.99916          0.00523028
                  20             4.99717          0.00534455
                  21             4.99813          0.00517393
                  22             4.99609          0.00534032
                  23             4.99673          0.00514273
                  24             4.99681          0.00492446
                  25             4.99603           0.0047874
                  26             4.99696          0.00469319
                  27             4.99843          0.00474781
                  28             4.99844          0.00457513
                  29             4.99895          0.00444411
                  30             4.99929          0.00430636
                  31             4.99912          0.00416844
                  32             5.00045          0.00424985
                  33             4.99937          0.00426034
                  34             4.99925          0.00413465
                  35             5.00106          0.00440253
                  36             5.00094          0.00428014
                  37             5.00192          0.00427641
                  38             5.00219          0.00417095
                  39             5.00212           0.0040631
                  40             5.00219          0.00396072
                  41             5.00085          0.00408753
                  42             5.00105          0.00399407
                  43              5.0009           0.0039029
                  44              5.0001          0.00389598
                  45             5.00114          0.00394598
                  46             5.00113          0.00385925
                  47             5.00127          0.00377861
                  48             5.00173          0.00372777
                  49             5.00335          0.00399704
                  50             5.00314          0.00392202
                  51             5.00359           0.0038701
                  52             5.00463          0.00393617
                  53             5.00433           0.0038729
                  54             5.00379          0.00383844
                  55             5.00297           0.0038562
                  56             5.00342          0.00381234
                  57             5.00313          0.00375559
                  58             5.00306           0.0036909
                  59             5.00347          0.00365059
                  60             5.00329          0.00359395
                  61             5.00291          0.00355485
                  62             5.00236          0.00353945
                  63              5.0028          0.00351081
                  64             5.00179          0.00360043
                  65             5.00225          0.00357402
                  66             5.00166          0.00356797
                  67              5.0016          0.00351486
                  68             5.00213          0.00350345
                  69             5.00187          0.00346217
                  70              5.0021          0.00341964
                  71              5.0017          0.00339481
                  72             5.00156          0.00335013
                  73             5.00137          0.00330916
                  74             5.00081          0.00331304
                  75             5.00093          0.00327086
                  76             5.00042          0.00326715
                  77             5.00005          0.00324609
                  78             4.99966          0.00322733
                  79             5.00033          0.00325517
                  80             5.00004           0.0032274
                  81             5.00021          0.00319189
                  82              4.9993           0.0032803
                  83              4.9996          0.00325409
                  84              5.0003          0.00329096
                  85             5.00026           0.0032522
                  86             5.00046          0.00321989
                  87             5.00072          0.00319318
                  88              5.0012          0.00319292
                  89             5.00163          0.00318687
                  90             5.00105          0.00320522
                  91               5.001          0.00317009
                  92             5.00105          0.00313578
                  93              5.0012           0.0031054
                  94               5.001           0.0030785
                  95              5.0009          0.00304748
                  96             5.00036          0.00306399
                  97             5.00081          0.00306517
                  98             5.00127          0.00306806
                  99             5.00117          0.00303851
                 100              5.0015          0.00302654
