               block cumulative_averages         uncertainty
                   1           -0.441864                   0
                   2           -0.436498          0.00536676
                   3           -0.436406          0.00309987
                   4           -0.441301          0.00536357
                   5            -0.44203          0.00421815
                   6           -0.442438          0.00346816
                   7           -0.442851          0.00296011
                   8           -0.441001          0.00316164
                   9           -0.440481          0.00283628
                  10           -0.441999          0.00295621
                  11           -0.441938          0.00267469
                  12           -0.439638          0.00335406
                  13           -0.439685          0.00308564
                  14           -0.440128          0.00289083
                  15           -0.440427          0.00270773
                  16           -0.439545          0.00268186
                  17           -0.439683          0.00252297
                  18           -0.439842          0.00238398
                  19           -0.439857          0.00225507
                  20           -0.439312          0.00220759
                  21           -0.439294          0.00209991
                  22           -0.440015           0.0021279
                  23           -0.440882          0.00221049
                  24           -0.441051          0.00212314
                  25           -0.441423          0.00207018
                  26           -0.441441          0.00198905
                  27           -0.441818          0.00195062
                  28           -0.442143          0.00190757
                  29            -0.44255          0.00188506
                  30            -0.44291          0.00185651
                  31           -0.443206           0.0018198
                  32           -0.443533           0.0017921
                  33           -0.443448          0.00173903
                  34           -0.443519           0.0016886
                  35           -0.443507          0.00163969
                  36           -0.443602          0.00159634
                  37           -0.442898          0.00170477
                  38           -0.443026          0.00166422
                  39           -0.442978           0.0016217
                  40           -0.443019          0.00158116
                  41           -0.443364          0.00158039
                  42           -0.443214          0.00154962
                  43           -0.443048          0.00152228
                  44           -0.443166          0.00149199
                  45           -0.443395           0.0014763
                  46           -0.443396          0.00144385
                  47           -0.443695          0.00144418
                  48           -0.443574          0.00141898
                  49            -0.44351          0.00139119
                  50           -0.443378          0.00136941
                  51           -0.443573          0.00135632
                  52           -0.443662          0.00133296
                  53           -0.443756          0.00131092
                  54           -0.444084          0.00132762
                  55           -0.444193          0.00130784
                  56           -0.444168          0.00128452
                  57           -0.443901          0.00128977
                  58            -0.44385          0.00126835
                  59           -0.443809          0.00124734
                  60           -0.443902          0.00122989
                  61           -0.443904          0.00120956
                  62            -0.44384          0.00119162
                  63           -0.443755          0.00117563
                  64           -0.443785          0.00115753
                  65           -0.443803          0.00113971
                  66           -0.443931          0.00112964
                  67           -0.443955           0.0011129
                  68           -0.444081          0.00110367
                  69           -0.444168          0.00109103
                  70           -0.444121          0.00107634
                  71           -0.444103          0.00106123
                  72           -0.444106          0.00104639
                  73           -0.444198          0.00103602
                  74            -0.44418          0.00102209
                  75           -0.444167          0.00100845
                  76           -0.444228         0.000996947
                  77           -0.444091         0.000993398
                  78           -0.444027         0.000982635
                  79           -0.444075         0.000971267
                  80           -0.444032         0.000959985
                  81           -0.444051         0.000948243
                  82           -0.444035         0.000936741
                  83           -0.444081         0.000926514
                  84           -0.443814         0.000953545
                  85           -0.443876         0.000944327
                  86           -0.443825         0.000934681
                  87           -0.443916          0.00092829
                  88           -0.443937         0.000917935
                  89            -0.44391         0.000907982
                  90           -0.443921         0.000897907
                  91           -0.443823          0.00089334
                  92           -0.443945          0.00089193
                  93            -0.44399         0.000883411
                  94            -0.44402         0.000874495
                  95            -0.44411         0.000869844
                  96            -0.44421         0.000866608
                  97            -0.44414         0.000860523
                  98           -0.444253         0.000859184
                  99           -0.444091         0.000865745
                 100           -0.444234         0.000868973
